Sample_Name,Meat_Type,Campaign,Sampling_Time,Lactate_Dose,Packaging,Amplicon_16S,Amplicon_gyrB,Volatilome_Analysis,Sensorial_Profile,pH,Packaging_Gas_Analysis,Total cfu.g-1,LAB cfu.g-1,Chromametry
P04T2C3,Pork,n°4,T2,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
P04T3A1,Pork,n°4,T3,Normal_dose,Air,X,X,X,X,X,x,X,X,X
P04T3A2,Pork,n°4,T3,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P04T3A3,Pork,n°4,T3,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P04T3B1,Pork,n°4,T3,Half_dose,Air,X,X,,,X,x,X,X,
P04T3B2,Pork,n°4,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P04T3B3,Pork,n°4,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P04T3C1,Pork,n°4,T3,Zero_dose,Air,X,X,X,,X,x,X,X,X
P04T3C2,Pork,n°4,T3,Zero_dose,70%O2_30%CO2,,X,X,,X,x,X,X,X
P04T3C3,Pork,n°4,T3,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
P05TB,Pork,n°5,Gut,None,None,,X,,,X,,X,X,
P05TD,Pork,n°5,Primal_cut,None,None,,X,,,X,,X,X,
P05TE,Pork,n°5,Spices,None,None,,,,,X,,X,X,
P05TG,Pork,n°5,Fat,None,None,,X,,,X,,X,X,
P05T0A,Pork,n°5,T0,Normal_dose,None,,,X,X,X,,X,X,X
P05T0B,Pork,n°5,T0,Half_dose,None,,,,,X,,X,X,
P05T0C,Pork,n°5,T0,Zero_dose,None,,X,X,,X,,X,X,
P05T1A1,Pork,n°5,T1,Normal_dose,Air,,X,X,X,X,,X,X,X
P05T1A2,Pork,n°5,T1,Normal_dose,70%O2_30%CO2,,X,X,X,X,x,X,X,X
P05T1A3,Pork,n°5,T1,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P05T1B1,Pork,n°5,T1,Half_dose,Air,X,X,,,X,,X,X,
P05T1B2,Pork,n°5,T1,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P05T1B3,Pork,n°5,T1,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P05T1C1,Pork,n°5,T1,Zero_dose,Air,X,X,X,,X,,X,X,X
P05T1C2,Pork,n°5,T1,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P05T1C3,Pork,n°5,T1,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P05T2A1,Pork,n°5,T2,Normal_dose,Air,X,X,X,X,X,,X,X,X
P05T2A2,Pork,n°5,T2,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P05T2A3,Pork,n°5,T2,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P05T2B1,Pork,n°5,T2,Half_dose,Air,X,X,,,X,,X,X,
P05T2B2,Pork,n°5,T2,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P05T2B3,Pork,n°5,T2,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P05T2C1,Pork,n°5,T2,Zero_dose,Air,X,X,X,,X,,X,X,X
P05T2C2,Pork,n°5,T2,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P05T2C3,Pork,n°5,T2,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
P05T3A1,Pork,n°5,T3,Normal_dose,Air,X,X,X,X,X,,X,X,X
P05T3A2,Pork,n°5,T3,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P05T3A3,Pork,n°5,T3,Normal_dose,50%N2_50%CO2,,X,X,X,X,x,X,X,X
P05T3B1,Pork,n°5,T3,Half_dose,Air,X,X,,,X,,X,X,
P05T3B2,Pork,n°5,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P05T3B3,Pork,n°5,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P05T3C1,Pork,n°5,T3,Zero_dose,Air,X,X,X,,X,,X,X,X
P05T3C2,Pork,n°5,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P05T3C3,Pork,n°5,T3,Zero_dose,50%N2_50%CO2,X,X,X,,,x,X,X,X
P06TB,Pork,n°6,Gut,None,None,X,X,,,,,X,X,
P06TD,Pork,n°6,Primal_cut,None,None,,X,,,,,X,X,
P06TE,Pork,n°6,Spices,None,None,X,X,,,,,X,X,
P06TG,Pork,n°6,Fat,None,None,,X,,,,,X,X,
P06T0A,Pork,n°6,T0,Normal_dose,None,,X,X,X,X,,X,X,X
P06T0B,Pork,n°6,T0,Half_dose,None,,X,,,X,,X,X,
P06T0C,Pork,n°6,T0,Zero_dose,None,X,X,X,,X,,X,X,
P06T1A1,Pork,n°6,T1,Normal_dose,Air,,X,X,X,X,,X,X,X
P06T1A2,Pork,n°6,T1,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P06T1A3,Pork,n°6,T1,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P06T1B1,Pork,n°6,T1,Half_dose,Air,X,X,,,X,,X,X,
P06T1B2,Pork,n°6,T1,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P06T1B3,Pork,n°6,T1,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P06T1C1,Pork,n°6,T1,Zero_dose,Air,X,X,X,,X,,X,X,X
P06T1C2,Pork,n°6,T1,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P06T1C3,Pork,n°6,T1,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
P06T2A1,Pork,n°6,T2,Normal_dose,Air,X,X,X,X,X,,X,X,X
P06T2A2,Pork,n°6,T2,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P06T2A3,Pork,n°6,T2,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
P06T2B1,Pork,n°6,T2,Half_dose,Air,,X,,,X,,X,X,
P06T2B2,Pork,n°6,T2,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P06T2B3,Pork,n°6,T2,Half_dose,50%N2_50%CO2,,X,,,X,x,X,X,
P06T2C1,Pork,n°6,T2,Zero_dose,Air,,X,X,,X,,X,X,X
P06T2C2,Pork,n°6,T2,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P06T2C3,Pork,n°6,T2,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P06T3A1,Pork,n°6,T3,Normal_dose,Air,X,X,X,X,X,,X,X,X
P06T3A2,Pork,n°6,T3,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
P06T3A3,Pork,n°6,T3,Normal_dose,50%N2_50%CO2,,X,X,X,X,x,X,X,X
P06T3B1,Pork,n°6,T3,Half_dose,Air,,X,,,X,,X,X,
P06T3B2,Pork,n°6,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P06T3B3,Pork,n°6,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P06T3C1,Pork,n°6,T3,Zero_dose,Air,X,X,X,,X,,X,X,X
P06T3C2,Pork,n°6,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
P06T3C3,Pork,n°6,T3,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P07TB,Pork,n°7,Gut,None,None,,,,,,,X,X,
P07TD,Pork,n°7,Primal_cut,None,None,,,,,,,X,X,
P07TE,Pork,n°7,Spices,None,None,,,,,,,X,X,
P07TG,Pork,n°7,Fat,None,None,,,,,,,X,X,
P07T0A,Pork,n°7,T0,Normal_dose,None,,,X,X,X,,X,X,X
P07T0B,Pork,n°7,T0,Half_dose,None,,,,,X,,X,X,
P07T0C,Pork,n°7,T0,Zero_dose,None,,,X,,X,,X,X,
P07T1A1,Pork,n°7,T1,Normal_dose,Air,,,X,X,X,,X,X,X
P07T1A2,Pork,n°7,T1,Normal_dose,70%O2_30%CO2,,,X,X,X,x,X,X,X
P07T1A3,Pork,n°7,T1,Normal_dose,50%N2_50%CO2,,,X,X,X,x,X,X,X
P07T1B1,Pork,n°7,T1,Half_dose,Air,,,,,X,,X,X,
P07T1B2,Pork,n°7,T1,Half_dose,70%O2_30%CO2,,,,,X,x,X,X,
P07T1B3,Pork,n°7,T1,Half_dose,50%N2_50%CO2,,,,,X,x,X,X,
P07T1C1,Pork,n°7,T1,Zero_dose,Air,,,X,,X,,X,X,X
P07T1C2,Pork,n°7,T1,Zero_dose,70%O2_30%CO2,,,X,,X,x,X,X,X
P07T1C3,Pork,n°7,T1,Zero_dose,50%N2_50%CO2,,,X,,X,x,X,X,X
P07T2A1,Pork,n°7,T2,Normal_dose,Air,,,X,X,X,,X,X,X
P07T2A2,Pork,n°7,T2,Normal_dose,70%O2_30%CO2,,,X,X,X,x,X,X,X
P07T2A3,Pork,n°7,T2,Normal_dose,50%N2_50%CO2,,,X,X,X,x,X,X,X
P07T2B1,Pork,n°7,T2,Half_dose,Air,,,,,X,,X,X,
P07T2B2,Pork,n°7,T2,Half_dose,70%O2_30%CO2,,,,,X,x,X,X,
P07T2B3,Pork,n°7,T2,Half_dose,50%N2_50%CO2,,,,,X,x,X,X,
P07T2C1,Pork,n°7,T2,Zero_dose,Air,,,X,,X,,X,X,X
P07T2C2,Pork,n°7,T2,Zero_dose,70%O2_30%CO2,,,X,,X,x,X,X,X
P07T2C3,Pork,n°7,T2,Zero_dose,50%N2_50%CO2,,,X,,X,x,X,X,X
P07T3A1,Pork,n°7,T3,Normal_dose,Air,,,X,X,X,,X,X,X
P07T3A2,Pork,n°7,T3,Normal_dose,70%O2_30%CO2,,,X,X,X,x,X,X,X
P07T3A3,Pork,n°7,T3,Normal_dose,50%N2_50%CO2,,,X,X,X,x,X,X,X
P07T3B1,Pork,n°7,T3,Half_dose,Air,,,,,X,,X,X,
P07T3B2,Pork,n°7,T3,Half_dose,70%O2_30%CO2,,,,,X,x,X,X,
P07T3B3,Pork,n°7,T3,Half_dose,50%N2_50%CO2,,,,,X,x,X,X,
P07T3C1,Pork,n°7,T3,Zero_dose,Air,,,X,,X,,X,X,X
P07T3C2,Pork,n°7,T3,Zero_dose,70%O2_30%CO2,,,X,,X,x,X,X,X
P07T3C3,Pork,n°7,T3,Zero_dose,50%N2_50%CO2,,,X,,X,x,X,X,X
P08TB,Pork,n°8,Gut,None,None,X,X,,,X,,X,X,
P08TD,Pork,n°8,Primal_cut,None,None,,X,,,X,,X,X,
P08TE,Pork,n°8,Spices,None,None,X,X,,,X,,X,X,
P08TG,Pork,n°8,Fat,None,None,,X,,,X,,X,X,
P08T0A,Pork,n°8,T0,Normal_dose,None,X,,X,X,X,,X,X,X
P08T0B,Pork,n°8,T0,Half_dose,None,,,,,X,,X,X,
P08T0C,Pork,n°8,T0,Zero_dose,None,,,X,,X,,X,X,
P08T1A1,Pork,n°8,T1,Normal_dose,Air,,,X,X,X,,X,X,X
P08T1A2,Pork,n°8,T1,Normal_dose,70%O2_30%CO2,,,X,X,X,x,X,X,X
P08T1A3,Pork,n°8,T1,Normal_dose,50%N2_50%CO2,,X,X,X,X,x,X,X,X
P08T1B1,Pork,n°8,T1,Half_dose,Air,,X,,,X,,X,X,
P08T1B2,Pork,n°8,T1,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P08T1B3,Pork,n°8,T1,Half_dose,50%N2_50%CO2,,,,,X,x,X,X,
P08T1C1,Pork,n°8,T1,Zero_dose,Air,,,X,,X,,X,X,X
P08T1C2,Pork,n°8,T1,Zero_dose,70%O2_30%CO2,,X,X,,X,x,X,X,X
P08T1C3,Pork,n°8,T1,Zero_dose,50%N2_50%CO2,,,X,,X,x,X,X,X
P08T2A1,Pork,n°8,T2,Normal_dose,Air,,,X,X,X,,X,X,X
P08T2A2,Pork,n°8,T2,Normal_dose,70%O2_30%CO2,,X,X,X,X,x,X,X,X
P08T2A3,Pork,n°8,T2,Normal_dose,50%N2_50%CO2,,,X,X,X,x,X,X,X
P08T2B1,Pork,n°8,T2,Half_dose,Air,,X,,,X,,X,X,
P08T2B2,Pork,n°8,T2,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P08T2B3,Pork,n°8,T2,Half_dose,50%N2_50%CO2,,X,,,X,x,X,X,
P08T2C1,Pork,n°8,T2,Zero_dose,Air,,X,X,,X,,X,X,X
P08T2C2,Pork,n°8,T2,Zero_dose,70%O2_30%CO2,,X,X,,X,x,X,X,X
P08T2C3,Pork,n°8,T2,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P08T3A1,Pork,n°8,T3,Normal_dose,Air,,X,X,X,X,,X,X,X
P08T3A2,Pork,n°8,T3,Normal_dose,70%O2_30%CO2,,X,X,X,X,x,X,X,X
P08T3A3,Pork,n°8,T3,Normal_dose,50%N2_50%CO2,,X,X,X,X,x,X,X,X
P08T3B1,Pork,n°8,T3,Half_dose,Air,,X,,,X,,X,X,
P08T3B2,Pork,n°8,T3,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P08T3B3,Pork,n°8,T3,Half_dose,50%N2_50%CO2,,X,,,X,x,X,X,
P08T3C1,Pork,n°8,T3,Zero_dose,Air,,X,X,,X,,X,X,X
P08T3C2,Pork,n°8,T3,Zero_dose,70%O2_30%CO2,,X,X,,X,x,X,X,X
P08T3C3,Pork,n°8,T3,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P09TB,Pork,n°9,Gut,None,None,,,,,,,X,X,
P09TD,Pork,n°9,Primal_cut,None,None,,,,,,,X,X,
P09TE,Pork,n°9,Spices,None,None,,,,,,,X,X,
P09TG,Pork,n°9,Fat,None,None,,,,,,,X,X,
P09T0A,Pork,n°9,T0,Normal_dose,None,,X,X,X,X,,X,X,X
P09T0B,Pork,n°9,T0,Half_dose,None,,X,,,X,,X,X,
P09T0C,Pork,n°9,T0,Zero_dose,None,,,X,,X,,X,X,
P09T1A1,Pork,n°9,T1,Normal_dose,Air,,,X,,X,,X,X,X
P09T1A2,Pork,n°9,T1,Normal_dose,70%O2_30%CO2,,,X,,X,x,X,X,X
P09T1A3,Pork,n°9,T1,Normal_dose,50%N2_50%CO2,,,X,,X,x,X,X,X
P09T1B1,Pork,n°9,T1,Half_dose,Air,,,,,X,,X,X,
P09T1B2,Pork,n°9,T1,Half_dose,70%O2_30%CO2,,,,,X,x,X,X,
P09T1B3,Pork,n°9,T1,Half_dose,50%N2_50%CO2,,,,,X,x,X,X,
P09T1C1,Pork,n°9,T1,Zero_dose,Air,,,X,,X,,X,X,X
P09T1C2,Pork,n°9,T1,Zero_dose,70%O2_30%CO2,,,X,,X,x,X,X,X
P09T1C3,Pork,n°9,T1,Zero_dose,50%N2_50%CO2,,,X,,X,x,X,X,X
P09T2A1,Pork,n°9,T2,Normal_dose,Air,X,X,X,,X,,X,X,X
P09T2A2,Pork,n°9,T2,Normal_dose,70%O2_30%CO2,,X,X,,X,x,X,X,X
P09T2A3,Pork,n°9,T2,Normal_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P09T2B1,Pork,n°9,T2,Half_dose,Air,,X,,,X,,X,X,
P09T2B2,Pork,n°9,T2,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P09T2B3,Pork,n°9,T2,Half_dose,50%N2_50%CO2,,X,,,X,x,X,X,
P09T2C1,Pork,n°9,T2,Zero_dose,Air,,X,X,,X,,X,X,X
P09T2C2,Pork,n°9,T2,Zero_dose,70%O2_30%CO2,,X,X,,X,x,X,X,X
P09T2C3,Pork,n°9,T2,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P09T3A1,Pork,n°9,T3,Normal_dose,Air,,X,X,,X,,X,X,X
P09T3A2,Pork,n°9,T3,Normal_dose,70%O2_30%CO2,,X,X,,X,x,X,X,X
P09T3A3,Pork,n°9,T3,Normal_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P09T3B1,Pork,n°9,T3,Half_dose,Air,,,,,X,,X,X,
P09T3B2,Pork,n°9,T3,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P09T3B3,Pork,n°9,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P09T3C1,Pork,n°9,T3,Zero_dose,Air,X,X,X,,X,,X,X,X
P09T3C2,Pork,n°9,T3,Zero_dose,70%O2_30%CO2,,X,X,,X,x,X,X,X
P09T3C3,Pork,n°9,T3,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P10TB,Pork,n°10,Gut,None,None,X,X,,,,,X,X,
P10TD,Pork,n°10,Primal_cut,None,None,,X,,,,,X,X,
P10TE,Pork,n°10,Spices,None,None,X,X,,,,,X,X,
P10TG,Pork,n°10,Fat,None,None,,X,,,,,X,X,
P10T0A,Pork,n°10,T0,Normal_dose,None,,X,X,,X,,X,X,X
P10T0B,Pork,n°10,T0,Half_dose,None,,X,,,X,,X,X,
P10T0C,Pork,n°10,T0,Zero_dose,None,,,X,,X,,X,X,
P10T1A1,Pork,n°10,T1,Normal_dose,Air,,X,X,X,X,,X,X,X
P10T1A2,Pork,n°10,T1,Normal_dose,70%O2_30%CO2,,X,X,X,X,x,X,X,X
P10T1A3,Pork,n°10,T1,Normal_dose,50%N2_50%CO2,,,X,X,X,x,X,X,X
P10T1B1,Pork,n°10,T1,Half_dose,Air,,,,,X,,X,X,
P10T1B2,Pork,n°10,T1,Half_dose,70%O2_30%CO2,,,,,X,x,X,X,
P10T1B3,Pork,n°10,T1,Half_dose,50%N2_50%CO2,,,,,X,x,X,X,
P10T1C1,Pork,n°10,T1,Zero_dose,Air,,,X,,X,,X,X,X
P10T1C2,Pork,n°10,T1,Zero_dose,70%O2_30%CO2,,,X,,X,x,X,X,X
P10T1C3,Pork,n°10,T1,Zero_dose,50%N2_50%CO2,,,X,,X,x,X,X,X
P10T2A1,Pork,n°10,T2,Normal_dose,Air,,X,X,X,X,,X,X,X
P10T2A2,Pork,n°10,T2,Normal_dose,70%O2_30%CO2,,X,X,X,X,x,X,X,X
P10T2A3,Pork,n°10,T2,Normal_dose,50%N2_50%CO2,,X,X,X,X,x,X,X,X
P10T2B1,Pork,n°10,T2,Half_dose,Air,,X,,,X,,X,X,
P10T2B2,Pork,n°10,T2,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P10T2B3,Pork,n°10,T2,Half_dose,50%N2_50%CO2,,X,,,X,x,X,X,
P10T2C1,Pork,n°10,T2,Zero_dose,Air,,X,X,,X,,X,X,X
P10T2C2,Pork,n°10,T2,Zero_dose,70%O2_30%CO2,,X,X,,X,x,X,X,X
P10T2C3,Pork,n°10,T2,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P10T3A1,Pork,n°10,T3,Normal_dose,Air,,X,X,X,X,,X,X,X
P10T3A2,Pork,n°10,T3,Normal_dose,70%O2_30%CO2,,X,X,X,X,x,X,X,X
P10T3A3,Pork,n°10,T3,Normal_dose,50%N2_50%CO2,,X,X,X,X,x,X,X,X
P10T3B1,Pork,n°10,T3,Half_dose,Air,,X,,,X,,X,X,
P10T3B2,Pork,n°10,T3,Half_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P10T3B3,Pork,n°10,T3,Half_dose,50%N2_50%CO2,,X,,,X,x,X,X,
P10T3C1,Pork,n°10,T3,Zero_dose,Air,,X,X,,X,,X,X,X
P10T3C2,Pork,n°10,T3,Zero_dose,70%O2_30%CO2,,X,X,,X,x,X,X,X
P10T3C3,Pork,n°10,T3,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
P11TB,Pork,n°11,Spices,None,None,,X,,,,,X,X,
P11TD,Pork,n°11,Gut,None,None,,X,,,,,X,X,
P11TE,Pork,n°11,Fat,None,None,,X,,,,,X,X,
P11TG,Pork,n°11,T0,None,None,,X,,,,,X,X,
P11T0A,Pork,n°11,T0,Normal_dose,None,,,,,X,,X,X,
P11T0B,Pork,n°11,T0,Half_dose,None,,,,,X,,X,X,
P11T0C,Pork,n°11,T1,Zero_dose,None,,,,,X,,X,X,
P11T1A1,Pork,n°11,T1,Normal_dose,Air,,,,,X,,X,X,
P11T1A2,Pork,n°11,T1,Normal_dose,70%O2_30%CO2,,,,,X,x,X,X,
P11T1A3,Pork,n°11,T1,Normal_dose,50%N2_50%CO2,,,,,X,x,X,X,
P11T1B1,Pork,n°11,T1,Half_dose,Air,,,,,X,,X,X,
P11T1B2,Pork,n°11,T1,Half_dose,70%O2_30%CO2,,,,,X,x,X,X,
P11T1B3,Pork,n°11,T1,Half_dose,50%N2_50%CO2,,,,,X,x,X,X,
P11T1C1,Pork,n°11,T1,Zero_dose,Air,,,,,X,,X,X,
P11T1C2,Pork,n°11,T1,Zero_dose,70%O2_30%CO2,,X,,,X,x,X,X,
P11T1C3,Pork,n°11,T2,Zero_dose,50%N2_50%CO2,,,,,X,x,X,X,
P11T2A1,Pork,n°11,T2,Normal_dose,Air,X,X,,,X,,X,X,
P11T2A2,Pork,n°11,T2,Normal_dose,70%O2_30%CO2,,,,,X,x,X,X,
P11T2A3,Pork,n°11,T2,Normal_dose,50%N2_50%CO2,,X,,,X,x,X,X,
P11T2B1,Pork,n°11,T2,Half_dose,Air,,X,,,X,,X,X,
P11T2B2,Pork,n°11,T2,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P11T2B3,Pork,n°11,T2,Half_dose,50%N2_50%CO2,,X,,,X,x,X,X,
P11T2C1,Pork,n°11,T2,Zero_dose,Air,,X,,,X,,X,X,
P11T2C2,Pork,n°11,T2,Zero_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P11T2C3,Pork,n°11,T3,Zero_dose,50%N2_50%CO2,,X,,,X,x,X,X,
P11T3A1,Pork,n°11,T3,Normal_dose,Air,X,X,,,X,,X,X,
P11T3A2,Pork,n°11,T3,Normal_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P11T3A3,Pork,n°11,T3,Normal_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P11T3B1,Pork,n°11,T3,Half_dose,Air,,X,,,X,,X,X,
P11T3B2,Pork,n°11,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P11T3B3,Pork,n°11,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
P11T3C1,Pork,n°11,T3,Zero_dose,Air,,X,,,X,,X,X,
P11T3C2,Pork,n°11,T3,Zero_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
P11T3C3,Pork,n°11,T3,Zero_dose,50%N2_50%CO2,,X,,,X,x,X,X,
