Sample_Name,Total mesophilic aerobic flora (log10 CFU.g-1)
C01TB,5.08
C01TD,5.41
C01TE,3.98
C01TG,6.54
C01T0A,6
C01T0B,5.9
C01T0C,6.11
C01T1A1,8.44
C01T1A2,8.44
C01T1A3,8.38
C01T1B1,8.58
C01T1B2,8.72
C01T1B3,8.54
C01T1C1,8.76
C01T1C2,8.76
C01T1C3,8.55
C01T2A1,8.67
C01T2A2,8.85
C01T2A3,8.76
C01T2B1,8.65
C01T2B2,8.75
C01T2B3,8.6
C01T2C1,8.62
C01T2C2,8.73
C01T2C3,10.02
C01T3A1,8.77
C01T3A2,8.65
C01T3A3,9.32
C01T3B1,8.9
C01T3B2,8.69
C01T3B3,9.19
C01T3C1,8.5
C01T3C2,8.72
C01T3C3,8.7
C02TB,n.d.
C02TD,6.29
C02TE,n.d.
C02TG,6.99
C02T0A,6.5
C02T0B,6.34
C02T0C,6.47
C02T1A1,8.42
C02T1A2,8.28
C02T1A3,8.48
C02T1B1,7.69
C02T1B2,8.76
C02T1B3,8.06
C02T1C1,8.74
C02T1C2,8.89
C02T1C3,8.32
C02T2A1,8.4
C02T2A2,8.71
C02T2A3,8.14
C02T2B1,8.56
C02T2B2,8.82
C02T2B3,8.8
C02T2C1,8.97
C02T2C2,8.89
C02T2C3,8.7
C02T3A1,8.31
C02T3A2,8.69
C02T3A3,9.75
C02T3B1,9.39
C02T3B2,8.63
C02T3B3,10.32
C02T3C1,8.75
C02T3C2,8.4
C02T3C3,10.29
C03TB,6.78
C03TD,4.36
C03TE,3.26
C03TG,4.96
C03T0A,4.19
C03T0B,4.2
C03T0C,4.96
C03T1A1,8.24
C03T1A2,7.7
C03T1A3,7.64
C03T1B1,8.47
C03T1B2,8.01
C03T1B3,7.42
C03T1C1,8.85
C03T1C2,8.27
C03T1C3,8.3
C03T2A1,9.08
C03T2A2,9.47
C03T2A3,8.6
C03T2B1,9.53
C03T2B2,8.9
C03T2B3,8.53
C03T2C1,9.44
C03T2C2,9.02
C03T2C3,8.63
C03T3A1,8.29
C03T3A2,9.03
C03T3A3,8.55
C03T3B1,8.88
C03T3B2,8.8
C03T3B3,8.56
C03T3C1,9.12
C03T3C2,9.02
C03T3C3,8.42
C04TB,6.26
C04TD,4.17
C04TE,4.3
C04TG,5.12
C04T0A,5.37
C04T0B,5.91
C04T0C,5.47
C04T1A1,8.45
C04T1A2,8.43
C04T1A3,9.75
C04T1B1,8.53
C04T1B2,8.62
C04T1B3,7.42
C04T1C1,8.73
C04T1C2,8.89
C04T1C3,8.04
C04T2A1,10.03
C04T2A2,9.8
C04T2A3,9.91
C04T2B1,9.97
C04T2B2,9.7
C04T2B3,9.72
C04T2C1,9.82
C04T2C2,9.89
C04T2C3,8.78
C04T3A1,9
C04T3A2,8.59
C04T3A3,8.58
C04T3B1,8.7
C04T3B2,8.78
C04T3B3,8.87
C04T3C1,8.55
C04T3C2,8.73
C04T3C3,9
C05TB,6.03
C05TD,4.84
C05TE,n.d.
C05TG,5.46
C05T0A,6.15
C05T0B,5.54
C05T0C,6.65
C05T1A1,8.79
C05T1A2,8.95
C05T1A3,7.86
C05T1B1,8.56
C05T1B2,8.97
C05T1B3,8.2
C05T1C1,8.57
C05T1C2,9.04
C05T1C3,8.41
C05T2A1,9.03
C05T2A2,9.15
C05T2A3,8.57
C05T2B1,9
C05T2B2,9.1
C05T2B3,8.81
C05T2C1,9.09
C05T2C2,8.77
C05T2C3,9.02
C05T3A1,9.15
C05T3A2,9.3
C05T3A3,9.15
C05T3B1,9
C05T3B2,9.03
C05T3B3,8.9
C05T3C1,8.78
C05T3C2,8.93
C05T3C3,8.64
C06TB,6.26
C06TD,6.86
C06TE,n.d.
C06TG,6.74
C06T0A,5.93
C06T0B,6.13
C06T0C,5.93
C06T1A1,8.7
C06T1A2,9.22
C06T1A3,9.07
C06T1B1,9.09
C06T1B2,9.11
C06T1B3,9.37
C06T1C1,9.02
C06T1C2,9.17
C06T1C3,9.29
C06T2A1,8.81
C06T2A2,8.91
C06T2A3,9.1
C06T2B1,8.8
C06T2B2,8.87
C06T2B3,9.07
C06T2C1,8.81
C06T2C2,9.03
C06T2C3,9.03
C06T3A1,9.36
C06T3A2,9.56
C06T3A3,9.05
C06T3B1,9.29
C06T3B2,9.78
C06T3B3,9.13
C06T3C1,9.11
C06T3C2,9.18
C06T3C3,10.25
C07TB,5.29
C07TD,5.23
C07TE,n.d.
C07TG,3.9
C07T0A,4.85
C07T0B,5.78
C07T0C,5.64
C07T1A1,8.87
C07T1A2,8.76
C07T1A3,7.88
C07T1B1,9.03
C07T1B2,9.11
C07T1B3,8.22
C07T1C1,9.49
C07T1C2,9.16
C07T1C3,8.5
C07T2A1,9.38
C07T2A2,9.59
C07T2A3,9.42
C07T2B1,9.44
C07T2B2,9.52
C07T2B3,9.56
C07T2C1,9.41
C07T2C2,9.44
C07T2C3,9.52
C07T3A1,8.7
C07T3A2,8.95
C07T3A3,8.79
C07T3B1,8.65
C07T3B2,8.97
C07T3B3,8.67
C07T3C1,8.86
C07T3C2,9.07
C07T3C3,8.87
C08TB,6.31
C08TD,5.86
C08TE,n.d.
C08TG,6.14
C08T0A,5.89
C08T0B,5.75
C08T0C,5.61
C08T1A1,8.58
C08T1A2,8.72
C08T1A3,7.69
C08T1B1,8.76
C08T1B2,8.8
C08T1B3,8.52
C08T1C1,8.88
C08T1C2,8.98
C08T1C3,8.08
C08T2A1,9.82
C08T2A2,9.65
C08T2A3,9.48
C08T2B1,9.38
C08T2B2,9.45
C08T2B3,9.33
C08T2C1,9.44
C08T2C2,9.48
C08T2C3,8.95
C08T3A1,8.93
C08T3A2,8.89
C08T3A3,8.99
C08T3B1,8.76
C08T3B2,9.2
C08T3B3,8.74
C08T3C1,8.63
C08T3C2,8.66
C08T3C3,8.76
C09TB,5.93
C09TD,5.16
C09TE,n.d.
C09TG,5.45
C09T0A,4.95
C09T0B,4.98
C09T0C,5.79
C09T1A1,8.64
C09T1A2,8.21
C09T1A3,7.34
C09T1B1,8.6
C09T1B2,8.45
C09T1B3,7.25
C09T1C1,8.24
C09T1C2,8.44
C09T1C3,7.84
C09T2A1,8.64
C09T2A2,8.98
C09T2A3,8.69
C09T2B1,8.88
C09T2B2,8.93
C09T2B3,8.79
C09T2C1,8.66
C09T2C2,8.79
C09T2C3,8.68
C09T3A1,8.7
C09T3A2,9.06
C09T3A3,8.81
C09T3B1,8.78
C09T3B2,8.8
C09T3B3,8.72
C09T3C1,8.65
C09T3C2,8.88
C09T3C3,8.81
C10TB,6.18
C10TD,5.1
C10TE,n.d.
C10TG,5.53
C10T0A,5.48
C10T0B,5.46
C10T0C,5.95
C10T1A1,8.72
C10T1A2,8.56
C10T1A3,7.7
C10T1B1,8.84
C10T1B2,8.71
C10T1B3,7.97
C10T1C1,8.84
C10T1C2,8.9
C10T1C3,8.36
C10T2A1,8.71
C10T2A2,8.82
C10T2A3,8.69
C10T2B1,8.64
C10T2B2,8.79
C10T2B3,8.41
C10T2C1,8.52
C10T2C2,8.82
C10T2C3,8.53
C10T3A1,8.66
C10T3A2,8.59
C10T3A3,8.45
C10T3B1,8.34
C10T3B2,8.68
C10T3B3,8.47
C10T3C1,8.25
C10T3C2,8.59
C10T3C3,8.3
P01TB,6.36
P01TD,3.34
P01TE,3.64
P01TG,4.26
P01T0A,3.72
P01T0B,3.6
P01T0C,3.6
P01T1A1,5.11
P01T1A2,5.6
P01T1A3,4.46
P01T1B1,6.23
P01T1B2,5.99
P01T1B3,5.9
P01T1C1,5.49
P01T1C2,5.67
P01T1C3,5.6
P01T2A1,8.11
P01T2A2,7.73
P01T2A3,7.9
P01T2B1,8.62
P01T2B2,8.48
P01T2B3,7.82
P01T2C1,8.3
P01T2C2,8.58
P01T2C3,8.28
P01T3A1,8.04
P01T3A2,8.15
P01T3A3,8.15
P01T3B1,8.53
P01T3B2,8.23
P01T3B3,8.56
P01T3C1,8.54
P01T3C2,8.43
P01T3C3,8.3
P02TB,6.59
P02TD,4.8
P02TE,5.11
P02TG,6.76
P02T0A,6
P02T0B,6.23
P02T0C,6.18
P02T1A1,6.15
P02T1A2,6.18
P02T1A3,6.15
P02T1B1,6.3
P02T1B2,6.08
P02T1B3,6.11
P02T1C1,6.38
P02T1C2,6.2
P02T1C3,6.04
P02T2A1,8.28
P02T2A2,7.97
P02T2A3,8.04
P02T2B1,8.08
P02T2B2,7.78
P02T2B3,7.53
P02T2C1,8.2
P02T2C2,8.08
P02T2C3,8.28
P02T3A1,8.48
P02T3A2,8.18
P02T3A3,8.43
P02T3B1,8.38
P02T3B2,8.32
P02T3B3,8.41
P02T3C1,8.67
P02T3C2,8.58
P02T3C3,8.51
P03TB,5.49
P03TD,4.61
P03TE,3.83
P03TG,4.11
P03T0A,4.15
P03T0B,4.34
P03T0C,4.11
P03T1A1,6.94
P03T1A2,6.78
P03T1A3,6.46
P03T1B1,7.43
P03T1B2,7.42
P03T1B3,6.69
P03T1C1,7.01
P03T1C2,7.18
P03T1C3,6.26
P03T2A1,8.49
P03T2A2,8.28
P03T2A3,8.88
P03T2B1,8.7
P03T2B2,8.48
P03T2B3,8.88
P03T2C1,8.43
P03T2C2,8.61
P03T2C3,8.76
P03T3A1,8.74
P03T3A2,8.36
P03T3A3,8.8
P03T3B1,8.54
P03T3B2,8.51
P03T3B3,8.86
P03T3C1,8.75
P03T3C2,8.67
P03T3C3,8.9
P04TB,5.18
P04TD,4.26
P04TE,5.04
P04TG,5.69
P04T0A,4.36
P04T0B,4.26
P04T0C,4.26
P04T1A1,6.08
P04T1A2,5.91
P04T1A3,5.74
P04T1B1,5.61
P04T1B2,6.57
P04T1B3,6.2
P04T1C1,6
P04T1C2,5.87
P04T1C3,5.52
P04T2A1,8.26
P04T2A2,8.18
P04T2A3,8.38
P04T2B1,8.32
P04T2B2,8.36
P04T2B3,8.36
P04T2C1,8.23
P04T2C2,8.26
P04T2C3,8.32
P04T3A1,7.92
P04T3A2,7.74
P04T3A3,8.15
P04T3B1,8.54
P04T3B2,8.67
P04T3B3,8.76
P04T3C1,8.34
P04T3C2,8.3
P04T3C3,8.48
P05TB,7.41
P05TD,5.23
P05TE,4.79
P05TG,3.88
P05T0A,4.67
P05T0B,4.57
P05T0C,4.87
P05T1A1,7.2
P05T1A2,7.15
P05T1A3,6.91
P05T1B1,7.52
P05T1B2,7.28
P05T1B3,7.51
P05T1C1,8.11
P05T1C2,8.11
P05T1C3,7.63
P05T2A1,7.92
P05T2A2,7.61
P05T2A3,7.58
P05T2B1,8.56
P05T2B2,8.45
P05T2B3,8.57
P05T2C1,8.57
P05T2C2,8.6
P05T2C3,8.53
P05T3A1,7.63
P05T3A2,7.45
P05T3A3,7.65
P05T3B1,8.34
P05T3B2,8.52
P05T3B3,8.38
P05T3C1,8.32
P05T3C2,8.2
P05T3C3,8.23
P06TB,6.23
P06TD,5.08
P06TE,5.04
P06TG,4.04
P06T0A,4.53
P06T0B,4.49
P06T0C,4.34
P06T1A1,7
P06T1A2,7.04
P06T1A3,6.08
P06T1B1,6.83
P06T1B2,6.38
P06T1B3,5.46
P06T1C1,6.69
P06T1C2,6.2
P06T1C3,5.78
P06T2A1,8.65
P06T2A2,8.54
P06T2A3,8.59
P06T2B1,8.51
P06T2B2,8.58
P06T2B3,8.49
P06T2C1,8.58
P06T2C2,8.51
P06T2C3,8.46
P06T3A1,7.98
P06T3A2,7.96
P06T3A3,7.99
P06T3B1,8.2
P06T3B2,7.98
P06T3B3,8.38
P06T3C1,8.15
P06T3C2,8.18
P06T3C3,8.38
P07TB,4.3
P07TD,5.08
P07TE,5.15
P07TG,4.23
P07T0A,5.28
P07T0B,4.64
P07T0C,4.48
P07T1A1,5.74
P07T1A2,5.04
P07T1A3,5.18
P07T1B1,5.94
P07T1B2,5.67
P07T1B3,5.51
P07T1C1,6.79
P07T1C2,6.26
P07T1C3,5.4
P07T2A1,8
P07T2A2,8.28
P07T2A3,7.78
P07T2B1,8.48
P07T2B2,8.32
P07T2B3,8.28
P07T2C1,8.46
P07T2C2,8.34
P07T2C3,8.49
P07T3A1,8.85
P07T3A2,8.88
P07T3A3,9.08
P07T3B1,9
P07T3B2,8.26
P07T3B3,9.08
P07T3C1,9.08
P07T3C2,8.89
P07T3C3,9.15
P08TB,3.98
P08TD,4.04
P08TE,4.92
P08TG,3.76
P08T0A,3.93
P08T0B,5
P08T0C,3.81
P08T1A1,7.45
P08T1A2,5.97
P08T1A3,7.58
P08T1B1,8.04
P08T1B2,7.86
P08T1B3,8.08
P08T1C1,5.73
P08T1C2,6.26
P08T1C3,5.53
P08T2A1,7.67
P08T2A2,7.34
P08T2A3,7.62
P08T2B1,7.74
P08T2B2,7.49
P08T2B3,7.45
P08T2C1,7.58
P08T2C2,7.34
P08T2C3,7.68
P08T3A1,8.62
P08T3A2,8.6
P08T3A3,8.69
P08T3B1,8.93
P08T3B2,8.3
P08T3B3,8.32
P08T3C1,8.6
P08T3C2,8.11
P08T3C3,8.79
P09TB,4.18
P09TD,3.58
P09TE,4.92
P09TG,4.68
P09T0A,3.82
P09T0B,3.77
P09T0C,3.95
P09T1A1,5.57
P09T1A2,5.45
P09T1A3,5.18
P09T1B1,5.79
P09T1B2,5.79
P09T1B3,5
P09T1C1,6.04
P09T1C2,5.89
P09T1C3,5.36
P09T2A1,8.08
P09T2A2,8.38
P09T2A3,8.18
P09T2B1,8.38
P09T2B2,8.41
P09T2B3,8.08
P09T2C1,8.6
P09T2C2,8.32
P09T2C3,8.23
P09T3A1,8.65
P09T3A2,8.4
P09T3A3,8.43
P09T3B1,8.57
P09T3B2,8.61
P09T3B3,8.54
P09T3C1,8.38
P09T3C2,8.4
P09T3C3,8.63
P10TB,5.91
P10TD,3.92
P10TE,4.79
P10TG,4.51
P10T0A,4.45
P10T0B,4.74
P10T0C,4.2
P10T1A1,5.54
P10T1A2,5.28
P10T1A3,4.91
P10T1B1,6.3
P10T1B2,6.04
P10T1B3,5.2
P10T1C1,6.04
P10T1C2,5.76
P10T1C3,5.68
P10T2A1,8.62
P10T2A2,8.36
P10T2A3,8.36
P10T2B1,8.53
P10T2B2,8.38
P10T2B3,8.43
P10T2C1,8.53
P10T2C2,8.41
P10T2C3,8.28
P10T3A1,8.65
P10T3A2,8.2
P10T3A3,8.67
P10T3B1,8.32
P10T3B2,8.23
P10T3B3,8.15
P10T3C1,8.26
P10T3C2,8
P10T3C3,8.2
P11TB,3.89
P11TD,3.65
P11TE,4.71
P11TG,3.4
P11T0A,3.88
P11T0B,3.65
P11T0C,5.04
P11T1A1,6.36
P11T1A2,6.23
P11T1A3,5.57
P11T1B1,5.79
P11T1B2,5.85
P11T1B3,5.61
P11T1C1,5.72
P11T1C2,5.69
P11T1C3,5.41
P11T2A1,8.04
P11T2A2,7.75
P11T2A3,8.2
P11T2B1,8.34
P11T2B2,8.04
P11T2B3,8.43
P11T2C1,8.3
P11T2C2,7.97
P11T2C3,8.36
P11T3A1,8.23
P11T3A2,8.11
P11T3A3,8.32
P11T3B1,8.43
P11T3B2,8.81
P11T3B3,8.64
P11T3C1,8.54
P11T3C2,8.15
P11T3C3,8.75
