Sample_Name,Lactic acid bacteria             (log10 CFU.g-1)
C01TB,0
C01TD,3.39
C01TE,0
C01TG,2.69
C01T0A,4.36
C01T0B,3.72
C01T0C,3.65
C01T1A1,8.05
C01T1A2,8.07
C01T1A3,8.12
C01T1B1,7.52
C01T1B2,7.44
C01T1B3,8.1
C01T1C1,7.32
C01T1C2,7.18
C01T1C3,7.65
C01T2A1,8.15
C01T2A2,8.00
C01T2A3,8.37
C01T2B1,8.03
C01T2B2,7.85
C01T2B3,8.68
C01T2C1,7.68
C01T2C2,7.68
C01T2C3,8.8
C01T3A1,8.17
C01T3A2,7.75
C01T3A3,8.08
C01T3B1,7.88
C01T3B2,7.78
C01T3B3,8.26
C01T3C1,7.69
C01T3C2,7.57
C01T3C3,8.48
C02TB,n.d.
C02TD,2.53
C02TE,n.d.
C02TG,3.15
C02T0A,3.37
C02T0B,3.62
C02T0C,3.39
C02T1A1,7.32
C02T1A2,7.21
C02T1A3,7.46
C02T1B1,7.47
C02T1B2,7.12
C02T1B3,7.61
C02T1C1,7.23
C02T1C2,7.1
C02T1C3,7.74
C02T2A1,7.98
C02T2A2,8.27
C02T2A3,7.9
C02T2B1,8.05
C02T2B2,7.75
C02T2B3,8.46
C02T2C1,8.22
C02T2C2,8.00
C02T2C3,7.93
C02T3A1,7.8
C02T3A2,7.6
C02T3A3,7.94
C02T3B1,8.24
C02T3B2,8.41
C02T3B3,8.36
C02T3C1,7.42
C02T3C2,7.63
C02T3C3,8.47
C03TB,<1
C03TD,2.18
C03TE,<1
C03TG,2.57
C03T0A,2.44
C03T0B,2.83
C03T0C,2.95
C03T1A1,5.88
C03T1A2,5.64
C03T1A3,6.45
C03T1B1,6.73
C03T1B2,5.61
C03T1B3,8.35
C03T1C1,6.18
C03T1C2,6.33
C03T1C3,7.43
C03T2A1,8.12
C03T2A2,7.84
C03T2A3,8.1
C03T2B1,8.00
C03T2B2,7.65
C03T2B3,8.18
C03T2C1,8.12
C03T2C2,7.58
C03T2C3,8.17
C03T3A1,8.26
C03T3A2,8.31
C03T3A3,8.3
C03T3B1,8.23
C03T3B2,7.79
C03T3B3,8.57
C03T3C1,8.17
C03T3C2,7.99
C03T3C3,8.26
C04TB,3.38
C04TD,2.1
C04TE,<1
C04TG,2.1
C04T0A,3.54
C04T0B,3.32
C04T0C,3.45
C04T1A1,6.86
C04T1A2,6.5
C04T1A3,6.89
C04T1B1,6.55
C04T1B2,6.57
C04T1B3,6.84
C04T1C1,6.99
C04T1C2,6.54
C04T1C3,7.44
C04T2A1,9.41
C04T2A2,9.16
C04T2A3,9.09
C04T2B1,9.17
C04T2B2,8.58
C04T2B3,9.24
C04T2C1,8.3
C04T2C2,8.48
C04T2C3,8.55
C04T3A1,8.96
C04T3A2,8.54
C04T3A3,8.53
C04T3B1,8.63
C04T3B2,8.7
C04T3B3,8.85
C04T3C1,8.66
C04T3C2,8.49
C04T3C3,8.95
C05TB,<1
C05TD,2.44
C05TE,<1
C05TG,2.49
C05T0A,4.62
C05T0B,3.32
C05T0C,4.23
C05T1A1,7.39
C05T1A2,7.24
C05T1A3,7.63
C05T1B1,7.5
C05T1B2,7.57
C05T1B3,7.96
C05T1C1,7.33
C05T1C2,7.5
C05T1C3,8.65
C05T2A1,8.17
C05T2A2,7.8
C05T2A3,8.66
C05T2B1,8.09
C05T2B2,7.92
C05T2B3,8.34
C05T2C1,7.81
C05T2C2,7.68
C05T2C3,8.35
C05T3A1,8.33
C05T3A2,7.75
C05T3A3,8.88
C05T3B1,8.19
C05T3B2,8.18
C05T3B3,7.81
C05T3C1,7.91
C05T3C2,8.14
C05T3C3,8.2
C06TB,<1
C06TD,3.7
C06TE,<1
C06TG,2.59
C06T0A,4.52
C06T0B,4.48
C06T0C,4.78
C06T1A1,8.87
C06T1A2,8.74
C06T1A3,8.85
C06T1B1,8.7
C06T1B2,8.61
C06T1B3,8.93
C06T1C1,8.85
C06T1C2,8.67
C06T1C3,8.91
C06T2A1,8.71
C06T2A2,8.76
C06T2A3,8.98
C06T2B1,8.7
C06T2B2,8.86
C06T2B3,8.94
C06T2C1,8.78
C06T2C2,8.91
C06T2C3,9.03
C06T3A1,9.29
C06T3A2,9.44
C06T3A3,9.01
C06T3B1,9.12
C06T3B2,9.67
C06T3B3,9.1
C06T3C1,8.57
C06T3C2,8.92
C06T3C3,10.21
C07TB,<1
C07TD,2.99
C07TE,<1
C07TG,2.3
C07T0A,3.1
C07T0B,3.22
C07T0C,3.07
C07T1A1,7.33
C07T1A2,6.74
C07T1A3,7.57
C07T1B1,7.43
C07T1B2,6.81
C07T1B3,7.67
C07T1C1,7.13
C07T1C2,6.77
C07T1C3,7.44
C07T2A1,8.31
C07T2A2,8.01
C07T2A3,8.81
C07T2B1,8.34
C07T2B2,7.94
C07T2B3,8.62
C07T2C1,8.4
C07T2C2,7.54
C07T2C3,8.26
C07T3A1,7.93
C07T3A2,7.85
C07T3A3,8.44
C07T3B1,7.85
C07T3B2,7.6
C07T3B3,8.25
C07T3C1,7.63
C07T3C2,7.3
C07T3C3,7.91
C08TB,<1
C08TD,2.6
C08TE,<1
C08TG,2.57
C08T0A,2.74
C08T0B,3.02
C08T0C,3.07
C08T1A1,6.41
C08T1A2,6.4
C08T1A3,6.66
C08T1B1,7.06
C08T1B2,6.8
C08T1B3,7.03
C08T1C1,6.79
C08T1C2,6.57
C08T1C3,7.171
C08T2A1,8.77
C08T2A2,7.88
C08T2A3,8.5
C08T2B1,8.28
C08T2B2,7.93
C08T2B3,8.51
C08T2C1,8.83
C08T2C2,7.69
C08T2C3,8.39
C08T3A1,7.77
C08T3A2,7.72
C08T3A3,7.97
C08T3B1,7.56
C08T3B2,7.46
C08T3B3,8.03
C08T3C1,7.72
C08T3C2,7.44
C08T3C3,8.03
C09TB,<1
C09TD,2.74
C09TE,<1
C09TG,2.64
C09T0A,3.08
C09T0B,3.08
C09T0C,3.3
C09T1A1,6.85
C09T1A2,6.23
C09T1A3,6.67
C09T1B1,6.87
C09T1B2,6.66
C09T1B3,6.99
C09T1C1,7.02
C09T1C2,6.73
C09T1C3,6.95
C09T2A1,7.46
C09T2A2,7.65
C09T2A3,8.07
C09T2B1,7.99
C09T2B2,7.33
C09T2B3,8.41
C09T2C1,7.74
C09T2C2,7.72
C09T2C3,8.15
C09T3A1,7.75
C09T3A2,7.63
C09T3A3,8.26
C09T3B1,7.92
C09T3B2,7.85
C09T3B3,8.56
C09T3C1,8.12
C09T3C2,7.69
C09T3C3,8.42
C10TB,1.7
C10TD,2.48
C10TE,<1
C10TG,2.00
C10T0A,3.31
C10T0B,3.12
C10T0C,3.49
C10T1A1,7.03
C10T1A2,6.29
C10T1A3,6.74
C10T1B1,6.61
C10T1B2,6.33
C10T1B3,6.97
C10T1C1,6.97
C10T1C2,6.67
C10T1C3,6.14
C10T2A1,7.69
C10T2A2,7.57
C10T2A3,8.23
C10T2B1,7.79
C10T2B2,6.7
C10T2B3,8.11
C10T2C1,7.38
C10T2C2,7.14
C10T2C3,7.99
C10T3A1,7.86
C10T3A2,7.69
C10T3A3,8.19
C10T3B1,7.68
C10T3B2,7.1
C10T3B3,7.95
C10T3C1,7.54
C10T3C2,7.24
C10T3C3,7.77
P01TB,<1
P01TD,<1
P01TE,<1
P01TG,<1
P01T0A,1.90308998699194
P01T0B,2.47712125471966
P01T0C,2.23044892137827
P01T1A1,4.90848501887865
P01T1A2,5.43136376415899
P01T1A3,4.32221929473392
P01T1B1,6.32221929473392
P01T1B2,5.61278385671974
P01T1B3,5.90308998699194
P01T1C1,5.30102999566398
P01T1C2,5.64345267648619
P01T1C3,5.49136169383427
P01T2A1,8.00
P01T2A2,7.74036268949424
P01T2A3,7.88081359228079
P01T2B1,8.67209785793572
P01T2B2,8.32221929473392
P01T2B3,7.88649072517248
P01T2C1,8.66275783168157
P01T2C2,8.36172783601759
P01T2C3,8.20411998265593
P01T3A1,7.9912260756925
P01T3A2,8.04139268515823
P01T3A3,7.97772360528885
P01T3B1,8.49136169383427
P01T3B2,8.14612803567824
P01T3B3,8.38021124171161
P01T3C1,8.41497334797082
P01T3C2,8.27875360095283
P01T3C3,8.54406804435028
P02TB,1.00
P02TD,1.00
P02TE,1.47712125471966
P02TG,2.32221929473392
P02T0A,2.07918124604762
P02T0B,2.17609125905568
P02T0C,2.23044892137827
P02T1A1,4.84509804001426
P02T1A2,4.65321251377534
P02T1A3,4.72427586960079
P02T1B1,5.11394335230684
P02T1B2,5.04139268515823
P02T1B3,4.67209785793572
P02T1C1,5.07918124604763
P02T1C2,5.07918124604763
P02T1C3,4.80617997398389
P02T2A1,8.11394335230684
P02T2A2,7.8750612633917
P02T2A3,7.74036268949424
P02T2B1,7.92941892571429
P02T2B2,7.47712125471966
P02T2B3,7.27875360095283
P02T2C1,7.81954393554187
P02T2C2,7.81954393554187
P02T2C3,7.88649072517248
P02T3A1,8.17609125905568
P02T3A2,8.00
P02T3A3,8.23044892137827
P02T3B1,8.07918124604763
P02T3B2,8.14612803567824
P02T3B3,8.36172783601759
P02T3C1,8.56820172406699
P02T3C2,8.25527250510331
P02T3C3,8.46239799789896
P03TB,<1
P03TD,2.89209460269048
P03TE,<1
P03TG,2.69897000433602
P03T0A,2.69897000433602
P03T0B,2.93449845124357
P03T0C,2.77085201164214
P03T1A1,6.11394335230684
P03T1A2,5.97772360528885
P03T1A3,5.92941892571429
P03T1B1,6.5910646070265
P03T1B2,6.93951925261862
P03T1B3,6.36172783601759
P03T1C1,6.43136376415899
P03T1C2,6.65321251377534
P03T1C3,5.86332286012046
P03T2A1,8.32221929473392
P03T2A2,8.04139268515823
P03T2A3,8.6232492903979
P03T2B1,8.46239799789896
P03T2B2,8.11394335230684
P03T2B3,8.83250891270624
P03T2C1,8.43136376415899
P03T2C2,8.39794000867204
P03T2C3,8.69019608002851
P03T3A1,8.41497334797082
P03T3A2,7.95904139232109
P03T3A3,8.54406804435028
P03T3B1,8.39794000867204
P03T3B2,8.27875360095283
P03T3B3,8.72427586960079
P03T3C1,8.63346845557959
P03T3C2,8.53147891704226
P03T3C3,5.63346845557959
P04TB,<1
P04TD,2.07918124604762
P04TE,1.47712125471966
P04TG,2.38021124171161
P04T0A,2.43136376415899
P04T0B,2.53147891704225
P04T0C,2.39794000867204
P04T1A1,6.00
P04T1A2,5.81291335664286
P04T1A3,5.7160033436348
P04T1B1,5.55630250076729
P04T1B2,6.27875360095283
P04T1B3,6.07918124604763
P04T1C1,6.04139268515823
P04T1C2,5.8750612633917
P04T1C3,5.27875360095283
P04T2A1,8.07918124604763
P04T2A2,8.00
P04T2A3,7.83884909073726
P04T2B1,8.14612803567824
P04T2B2,8.11394335230684
P04T2B3,8.11394335230684
P04T2C1,8.14612803567824
P04T2C2,8.11394335230684
P04T2C3,8.11394335230684
P04T3A1,7.77085201164214
P04T3A2,7.77085201164214
P04T3A3,8.04139268515823
P04T3B1,8.39794000867204
P04T3B2,8.57978359661681
P04T3B3,8.63346845557959
P04T3C1,8.27875360095283
P04T3C2,8.20411998265593
P04T3C3,8.25527250510331
P05TB,2.81954393554187
P05TD,2.79934054945358
P05TE,1.00
P05TG,3.41497334797082
P05T0A,3.04139268515822
P05T0B,3.65321251377534
P05T0C,3.07918124604762
P05T1A1,6.92941892571429
P05T1A2,6.95904139232109
P05T1A3,6.84509804001426
P05T1B1,7.46239799789896
P05T1B2,7.20411998265593
P05T1B3,7.32221929473392
P05T1C1,7.25527250510331
P05T1C2,7.30102999566398
P05T1C3,7.54406804435028
P05T2A1,7.92427928606188
P05T2A2,7.66275783168157
P05T2A3,7.50514997831991
P05T2B1,8.68124123737559
P05T2B2,8.44715803134222
P05T2B3,8.61278385671974
P05T2C1,8.70757017609794
P05T2C2,8.57978359661681
P05T2C3,8.44715803134222
P05T3A1,7.55630250076729
P05T3A2,7.36172783601759
P05T3A3,7.60205999132796
P05T3B1,8.23044892137827
P05T3B2,8.41497334797082
P05T3B3,8.27875360095283
P05T3C1,8.34242268082221
P05T3C2,8.17609125905568
P05T3C3,8.11394335230684
P06TB,2.17609125905568
P06TD,1.84509804001426
P06TE,1.00
P06TG,2.17609125905568
P06T0A,2.61278385671974
P06T0B,2.39794000867204
P06T0C,2.36172783601759
P06T1A1,6.67209785793572
P06T1A2,6.81291335664286
P06T1A3,5.90308998699194
P06T1B1,6.30102999566398
P06T1B2,6.14612803567824
P06T1B3,5.5910646070265
P06T1C1,6.04139268515823
P06T1C2,5.80617997398389
P06T1C3,5.64345267648619
P06T2A1,8.43136376415899
P06T2A2,8.23044892137827
P06T2A3,8.34242268082221
P06T2B1,8.49136169383427
P06T2B2,8.27875360095283
P06T2B3,8.54406804435028
P06T2C1,8.23044892137827
P06T2C2,8.17609125905568
P06T2C3,8.38021124171161
P06T3A1,7.64345267648619
P06T3A2,7.75587485567249
P06T3A3,7.77815125038364
P06T3B1,8.07918124604763
P06T3B2,7.92427928606188
P06T3B3,8.27875360095283
P06T3C1,7.94939000664491
P06T3C2,8.07918124604763
P06T3C3,8.14612803567824
P07TB,1.60205999132796
P07TD,2.11394335230684
P07TE,<1
P07TG,2.27875360095283
P07T0A,2.00
P07T0B,2.32221929473392
P07T0C,2.39794000867204
P07T1A1,4.60205999132796
P07T1A2,4.60205999132796
P07T1A3,4.00
P07T1B1,5.39794000867204
P07T1B2,5.39794000867204
P07T1B3,5.23044892137827
P07T1C1,6.14612803567824
P07T1C2,6.04139268515823
P07T1C3,4.86332286012046
P07T2A1,8.36172783601759
P07T2A2,8.20411998265593
P07T2A3,7.44715803134222
P07T2B1,8.30102999566398
P07T2B2,8.25527250510331
P07T2B3,8.04139268515823
P07T2C1,8.11394335230684
P07T2C2,8.32221929473392
P07T2C3,8.38021124171161
P07T3A1,8.9912260756925
P07T3A2,8.82607480270083
P07T3A3,9.17609125905568
P07T3B1,9.04139268515823
P07T3B2,8.20411998265593
P07T3B3,9.11394335230684
P07T3C1,8.93449845124357
P07T3C2,8.86332286012046
P07T3C3,9.00
P08TB,1.00
P08TD,2.23044892137827
P08TE,1.00
P08TG,2.20411998265592
P08T0A,2.60205999132796
P08T0B,3.54406804435028
P08T0C,2.14612803567824
P08T1A1,7.39794000867204
P08T1A2,5.60205999132796
P08T1A3,6.60205999132796
P08T1B1,7.51851393987789
P08T1B2,7.32221929473392
P08T1B3,7.86332286012046
P08T1C1,5.6232492903979
P08T1C2,6.20411998265593
P08T1C3,5.17609125905568
P08T2A1,7.36172783601759
P08T2A2,7.23044892137827
P08T2A3,7.46239799789896
P08T2B1,7.76342799356294
P08T2B2,7.32221929473392
P08T2B3,7.27875360095283
P08T2C1,7.32221929473392
P08T2C2,7.14612803567824
P08T2C3,7.6232492903979
P08T3A1,8.56820172406699
P08T3A2,8.39794000867204
P08T3A3,8.41497334797082
P08T3B1,8.76342799356294
P08T3B2,8.27875360095283
P08T3B3,8.27875360095283
P08T3C1,8.44715803134222
P08T3C2,8.89209460269048
P08T3C3,8.64345267648619
P09TB,<1
P09TD,1.00
P09TE,<1
P09TG,1.77815125038364
P09T0A,1.77815125038364
P09T0B,2.41497334797082
P09T0C,2.07918124604762
P09T1A1,5.23044892137827
P09T1A2,5.47712125471966
P09T1A3,4.95904139232109
P09T1B1,5.55630250076729
P09T1B2,5.77085201164214
P09T1B3,5.17609125905568
P09T1C1,5.92941892571429
P09T1C2,5.74036268949424
P09T1C3,5.39794000867204
P09T2A1,8.07918124604763
P09T2A2,8.27875360095283
P09T2A3,8.14612803567824
P09T2B1,8.25527250510331
P09T2B2,8.27875360095283
P09T2B3,8.11394335230684
P09T2C1,8.39794000867204
P09T2C2,8.17609125905568
P09T2C3,8.07918124604763
P09T3A1,8.39794000867204
P09T3A2,8.30102999566398
P09T3A3,8.38021124171161
P09T3B1,8.39794000867204
P09T3B2,8.53147891704226
P09T3B3,8.39794000867204
P09T3C1,8.30102999566398
P09T3C2,8.38021124171161
P09T3C3,8.38021124171161
P10TB,1.00
P10TD,1.60205999132796
P10TE,2.14612803567824
P10TG,1.69897000433602
P10T0A,1.95904139232109
P10T0B,2.39794000867204
P10T0C,2.14612803567824
P10T1A1,5.39794000867204
P10T1A2,5.23044892137827
P10T1A3,4.99563519459755
P10T1B1,6.14612803567824
P10T1B2,6.04139268515823
P10T1B3,5.17609125905568
P10T1C1,5.23044892137827
P10T1C2,5.75587485567249
P10T1C3,5.65321251377534
P10T2A1,8.76342799356294
P10T2A2,8.53147891704226
P10T2A3,8.20411998265593
P10T2B1,8.49136169383427
P10T2B2,8.49136169383427
P10T2B3,8.39794000867204
P10T2C1,8.41497334797082
P10T2C2,8.27875360095283
P10T2C3,8.07918124604763
P10T3A1,8.36172783601759
P10T3A2,8.00
P10T3A3,8.41497334797082
P10T3B1,8.32221929473392
P10T3B2,8.14612803567824
P10T3B3,8.17609125905568
P10T3C1,8.07918124604763
P10T3C2,8.07918124604763
P10T3C3,8.11394335230684
P11TB,2.32221929473392
P11TD,1.80617997398389
P11TE,2.81291335664286
P11TG,2.30102999566398
P11T0A,3.11394335230684
P11T0B,2.41497334797082
P11T0C,<1
P11T1A1,6.23044892137827
P11T1A2,6.20411998265593
P11T1A3,5.25527250510331
P11T1B1,5.7481880270062
P11T1B2,5.64345267648619
P11T1B3,5.43136376415899
P11T1C1,5.77815125038364
P11T1C2,5.65321251377534
P11T1C3,1.86332286012046
P11T2A1,8.00
P11T2A2,7.86923171973098
P11T2A3,8.00
P11T2B1,8.25527250510331
P11T2B2,7.92941892571429
P11T2B3,8.30102999566398
P11T2C1,7.98677173426625
P11T2C2,7.90848501887865
P11T2C3,8.17609125905568
P11T3A1,8.11394335230684
P11T3A2,7.99563519459755
P11T3A3,8.23044892137827
P11T3B1,8.30102999566398
P11T3B2,8.73239375982297
P11T3B3,8.66275783168157
P11T3C1,8.39794000867204
P11T3C2,8.20411998265593
P11T3C3,8.46239799789896
