Sample_Name	Meat_Type	Campaign	Sampling_Time	Lactate_Dose	Packaging	Amplicon_16S	Amplicon_gyrB	Volatilome_Analysis	Sensorial_Profile	pH	Packaging_Gas_Analysis	Total cfu.g-1	LAB cfu.g-1	Chromametry																			
C01TB	Poultry	n¡ã1	Gut	None	None							X	X																				
C01TD	Poultry	n¡ã1	Primal_cut	None	None							X	X																				
C01TE	Poultry	n¡ã1	Spices	None	None							X	X																				
C01TG	Poultry	n¡ã1	Fat	None	None							X	X																				
C01T0A	Poultry	n¡ã1	T0	Normal_dose	None	X	X	X		X	x	X	X	X																			
C01T0B	Poultry	n¡ã1	T0	Half_dose	None	X	X			X	x	X	X																				
C01T0C	Poultry	n¡ã1	T0	Zero_dose	None	X	X	X		X	x	X	X																				
C01T1A1	Poultry	n¡ã1	T1	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C01T1A2	Poultry	n¡ã1	T1	Normal_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C01T1A3	Poultry	n¡ã1	T1	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C01T1B1	Poultry	n¡ã1	T1	Half_dose	Air	X	X			X	x	X	X																				
C01T1B2	Poultry	n¡ã1	T1	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C01T1B3	Poultry	n¡ã1	T1	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C01T1C1	Poultry	n¡ã1	T1	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C01T1C2	Poultry	n¡ã1	T1	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C01T1C3	Poultry	n¡ã1	T1	Zero_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C01T2A1	Poultry	n¡ã1	T2	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C01T2A2	Poultry	n¡ã1	T2	Normal_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C01T2A3	Poultry	n¡ã1	T2	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C01T2B1	Poultry	n¡ã1	T2	Half_dose	Air	X	X			X	x	X	X																				
C01T2B2	Poultry	n¡ã1	T2	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C01T2B3	Poultry	n¡ã1	T2	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C01T2C1	Poultry	n¡ã1	T2	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C01T2C2	Poultry	n¡ã1	T2	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C01T2C3	Poultry	n¡ã1	T2	Zero_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C01T3A1	Poultry	n¡ã1	T3	Normal_dose	Air	X	X	X		X	x	X	X	X																			x
C01T3A2	Poultry	n¡ã1	T3	Normal_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C01T3A3	Poultry	n¡ã1	T3	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C01T3B1	Poultry	n¡ã1	T3	Half_dose	Air	X	X			X	x	X	X																				
C01T3B2	Poultry	n¡ã1	T3	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C01T3B3	Poultry	n¡ã1	T3	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C01T3C1	Poultry	n¡ã1	T3	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C01T3C2	Poultry	n¡ã1	T3	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C01T3C3	Poultry	n¡ã1	T3	Zero_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C02TB	Poultry	n¡ã2	Gut	None	None																												
C02TD	Poultry	n¡ã2	Primal_cut	None	None							X	X																				
C02TE	Poultry	n¡ã2	Spices	None	None																												
C02TG	Poultry	n¡ã2	Fat	None	None							X	X																				
C02T0A	Poultry	n¡ã2	T0	Normal_dose	None	X	X	X	X	X	x	X	X	X																			
C02T0B	Poultry	n¡ã2	T0	Half_dose	None	X	X			X	x	X	X																				
C02T0C	Poultry	n¡ã2	T0	Zero_dose	None	X	X	X		X	x	X	X																				
C02T1A1	Poultry	n¡ã2	T1	Normal_dose	Air	X	X	X	X	X	x	X	X	X																			
C02T1A2	Poultry	n¡ã2	T1	Normal_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C02T1A3	Poultry	n¡ã2	T1	Normal_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C02T1B1	Poultry	n¡ã2	T1	Half_dose	Air	X	X			X	x	X	X																				
C02T1B2	Poultry	n¡ã2	T1	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C02T1B3	Poultry	n¡ã2	T1	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C02T1C1	Poultry	n¡ã2	T1	Zero_dose	Air	X	X	X	X	X	x	X	X	X																			
C02T1C2	Poultry	n¡ã2	T1	Zero_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C02T1C3	Poultry	n¡ã2	T1	Zero_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C02T2A1	Poultry	n¡ã2	T2	Normal_dose	Air	X	X	X	X	X	x	X	X	X																			
C02T2A2	Poultry	n¡ã2	T2	Normal_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C02T2A3	Poultry	n¡ã2	T2	Normal_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C02T2B1	Poultry	n¡ã2	T2	Half_dose	Air	X	X			X	x	X	X																				
C02T2B2	Poultry	n¡ã2	T2	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C02T2B3	Poultry	n¡ã2	T2	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C02T2C1	Poultry	n¡ã2	T2	Zero_dose	Air	X	X	X	X	X	x	X	X	X																			
C02T2C2	Poultry	n¡ã2	T2	Zero_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C02T2C3	Poultry	n¡ã2	T2	Zero_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C02T3A1	Poultry	n¡ã2	T3	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C02T3A2	Poultry	n¡ã2	T3	Normal_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C02T3A3	Poultry	n¡ã2	T3	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C02T3B1	Poultry	n¡ã2	T3	Half_dose	Air	X	X			X	x	X	X																				
C02T3B2	Poultry	n¡ã2	T3	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C02T3B3	Poultry	n¡ã2	T3	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C02T3C1	Poultry	n¡ã2	T3	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C02T3C2	Poultry	n¡ã2	T3	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C02T3C3	Poultry	n¡ã2	T3	Zero_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C03TB	Poultry	n¡ã3	Gut	None	None							X	X																				
C03TD	Poultry	n¡ã3	Primal_cut	None	None							X	X																				
C03TE	Poultry	n¡ã3	Spices	None	None							X	X																				
C03TG	Poultry	n¡ã3	Fat	None	None							X	X																				
C03T0A	Poultry	n¡ã3	T0	Normal_dose	None	X	X	X	X	X	x	X	X	X																			
C03T0B	Poultry	n¡ã3	T0	Half_dose	None	X	X			X	x	X	X																				
C03T0C	Poultry	n¡ã3	T0	Zero_dose	None	X	X	X		X	x	X	X																				
C03T1A1	Poultry	n¡ã3	T1	Normal_dose	Air	X	X	X	X	X	x	X	X	X																			
C03T1A2	Poultry	n¡ã3	T1	Normal_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C03T1A3	Poultry	n¡ã3	T1	Normal_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C03T1B1	Poultry	n¡ã3	T1	Half_dose	Air	X	X			X	x	X	X																				
C03T1B2	Poultry	n¡ã3	T1	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C03T1B3	Poultry	n¡ã3	T1	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C03T1C1	Poultry	n¡ã3	T1	Zero_dose	Air	X	X	X	X	X	x	X	X	X																			
C03T1C2	Poultry	n¡ã3	T1	Zero_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C03T1C3	Poultry	n¡ã3	T1	Zero_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C03T2A1	Poultry	n¡ã3	T2	Normal_dose	Air	X	X	X	X	X	x	X	X	X																			
C03T2A2	Poultry	n¡ã3	T2	Normal_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C03T2A3	Poultry	n¡ã3	T2	Normal_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C03T2B1	Poultry	n¡ã3	T2	Half_dose	Air	X	X			X	x	X	X																				
C03T2B2	Poultry	n¡ã3	T2	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C03T2B3	Poultry	n¡ã3	T2	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C03T2C1	Poultry	n¡ã3	T2	Zero_dose	Air	X	X	X	X	X	x	X	X	X																			
C03T2C2	Poultry	n¡ã3	T2	Zero_dose	70%O2_30%CO2	X		X	X	X	x	X	X	X																			
C03T2C3	Poultry	n¡ã3	T2	Zero_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C03T3A1	Poultry	n¡ã3	T3	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C03T3A2	Poultry	n¡ã3	T3	Normal_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C03T3A3	Poultry	n¡ã3	T3	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C03T3B1	Poultry	n¡ã3	T3	Half_dose	Air	X	X			X	x	X	X																				
C03T3B2	Poultry	n¡ã3	T3	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C03T3B3	Poultry	n¡ã3	T3	Half_dose	50%N2_50%CO2		X			X	x	X	X																				
C03T3C1	Poultry	n¡ã3	T3	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C03T3C2	Poultry	n¡ã3	T3	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C03T3C3	Poultry	n¡ã3	T3	Zero_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C04TB	Poultry	n¡ã4	Gut	None	None							X	X																				
C04TD	Poultry	n¡ã4	Primal_cut	None	None							X	X																				
C04TE	Poultry	n¡ã4	Spices	None	None							X	X																				
C04TG	Poultry	n¡ã4	Fat	None	None							X	X																				
C04T0A	Poultry	n¡ã4	T0	Normal_dose	None	X	X	X		X	x	X	X	X																			
C04T0B	Poultry	n¡ã4	T0	Half_dose	None	X	X			X	x	X	X																				
C04T0C	Poultry	n¡ã4	T0	Zero_dose	None	X	X	X		X	x	X	X																				
C04T1A1	Poultry	n¡ã4	T1	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C04T1A2	Poultry	n¡ã4	T1	Normal_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C04T1A3	Poultry	n¡ã4	T1	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C04T1B1	Poultry	n¡ã4	T1	Half_dose	Air	X	X			X	x	X	X																				
C04T1B2	Poultry	n¡ã4	T1	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C04T1B3	Poultry	n¡ã4	T1	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C04T1C1	Poultry	n¡ã4	T1	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C04T1C2	Poultry	n¡ã4	T1	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C04T1C3	Poultry	n¡ã4	T1	Zero_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C04T2A1	Poultry	n¡ã4	T2	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C04T2A2	Poultry	n¡ã4	T2	Normal_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C04T2A3	Poultry	n¡ã4	T2	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C04T2B1	Poultry	n¡ã4	T2	Half_dose	Air	X	X			X	x	X	X																				
C04T2B2	Poultry	n¡ã4	T2	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C04T2B3	Poultry	n¡ã4	T2	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C04T2C1	Poultry	n¡ã4	T2	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C04T2C2	Poultry	n¡ã4	T2	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C04T2C3	Poultry	n¡ã4	T2	Zero_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C04T3A1	Poultry	n¡ã4	T3	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C04T3A2	Poultry	n¡ã4	T3	Normal_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C04T3A3	Poultry	n¡ã4	T3	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C04T3B1	Poultry	n¡ã4	T3	Half_dose	Air	X	X			X	x	X	X																				
C04T3B2	Poultry	n¡ã4	T3	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C04T3B3	Poultry	n¡ã4	T3	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C04T3C1	Poultry	n¡ã4	T3	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C04T3C2	Poultry	n¡ã4	T3	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C04T3C3	Poultry	n¡ã4	T3	Zero_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C05TB	Poultry	n¡ã5	Gut	None	None							X	X																				
C05TD	Poultry	n¡ã5	Primal_cut	None	None							X	X																				
C05TE	Poultry	n¡ã5	Spices	None	None																												
C05TG	Poultry	n¡ã5	Fat	None	None							X	X																				
C05T0A	Poultry	n¡ã5	T0	Normal_dose	None	X	X	X	X	X	x	X	X	X																			
C05T0B	Poultry	n¡ã5	T0	Half_dose	None	X	X			X	x	X	X																				
C05T0C	Poultry	n¡ã5	T0	Zero_dose	None	X	X	X	X	X	x	X	X																				
C05T1A1	Poultry	n¡ã5	T1	Normal_dose	Air	X	X	X	X	X	x	X	X	X																			
C05T1A2	Poultry	n¡ã5	T1	Normal_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C05T1A3	Poultry	n¡ã5	T1	Normal_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C05T1B1	Poultry	n¡ã5	T1	Half_dose	Air	X	X			X	x	X	X																				
C05T1B2	Poultry	n¡ã5	T1	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C05T1B3	Poultry	n¡ã5	T1	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C05T1C1	Poultry	n¡ã5	T1	Zero_dose	Air	X	X	X	X	X	x	X	X	X																			
C05T1C2	Poultry	n¡ã5	T1	Zero_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C05T1C3	Poultry	n¡ã5	T1	Zero_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C05T2A1	Poultry	n¡ã5	T2	Normal_dose	Air	X	X	X	X	X	x	X	X	X																			
C05T2A2	Poultry	n¡ã5	T2	Normal_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C05T2A3	Poultry	n¡ã5	T2	Normal_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C05T2B1	Poultry	n¡ã5	T2	Half_dose	Air	X	X			X	x	X	X																				
C05T2B2	Poultry	n¡ã5	T2	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C05T2B3	Poultry	n¡ã5	T2	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C05T2C1	Poultry	n¡ã5	T2	Zero_dose	Air	X	X	X	X	X	x	X	X	X																			
C05T2C2	Poultry	n¡ã5	T2	Zero_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C05T2C3	Poultry	n¡ã5	T2	Zero_dose	50%N2_50%CO2		X	X	X	X	x	X	X	X																			
C05T3A1	Poultry	n¡ã5	T3	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C05T3A2	Poultry	n¡ã5	T3	Normal_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C05T3A3	Poultry	n¡ã5	T3	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C05T3B1	Poultry	n¡ã5	T3	Half_dose	Air	X	X			X	x	X	X																				
C05T3B2	Poultry	n¡ã5	T3	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C05T3B3	Poultry	n¡ã5	T3	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C05T3C1	Poultry	n¡ã5	T3	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C05T3C2	Poultry	n¡ã5	T3	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C05T3C3	Poultry	n¡ã5	T3	Zero_dose	50%N2_50%CO2		X	X		X	x	X	X	X																			
C06TB	Poultry	n¡ã6	Gut	None	None					X		X	X																				
C06TD	Poultry	n¡ã6	Primal_cut	None	None		X			X		X	X																				
C06TE	Poultry	n¡ã6	Spices	None	None					X																							
C06TG	Poultry	n¡ã6	Fat	None	None		X			X		X	X																				
C06T0A	Poultry	n¡ã6	T0	Normal_dose	None		X	X	X	X	x	X	X	X																			
C06T0B	Poultry	n¡ã6	T0	Half_dose	None	X	X			X	x	X	X																				
C06T0C	Poultry	n¡ã6	T0	Zero_dose	None	X	X	X	X	X	x	X	X																				
C06T1A1	Poultry	n¡ã6	T1	Normal_dose	Air	X	X	X	X	X	x	X	X	X																			
C06T1A2	Poultry	n¡ã6	T1	Normal_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C06T1A3	Poultry	n¡ã6	T1	Normal_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C06T1B1	Poultry	n¡ã6	T1	Half_dose	Air	X	X			X	x	X	X																				
C06T1B2	Poultry	n¡ã6	T1	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C06T1B3	Poultry	n¡ã6	T1	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C06T1C1	Poultry	n¡ã6	T1	Zero_dose	Air	X	X	X	X	X	x	X	X	X																			
C06T1C2	Poultry	n¡ã6	T1	Zero_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C06T1C3	Poultry	n¡ã6	T1	Zero_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C06T2A1	Poultry	n¡ã6	T2	Normal_dose	Air	X	X	X	X	X	x	X	X	X																			
C06T2A2	Poultry	n¡ã6	T2	Normal_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C06T2A3	Poultry	n¡ã6	T2	Normal_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C06T2B1	Poultry	n¡ã6	T2	Half_dose	Air	X	X			X	x	X	X																				
C06T2B2	Poultry	n¡ã6	T2	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C06T2B3	Poultry	n¡ã6	T2	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C06T2C1	Poultry	n¡ã6	T2	Zero_dose	Air	X	X	X	X	X	x	X	X	X																			
C06T2C2	Poultry	n¡ã6	T2	Zero_dose	70%O2_30%CO2	X	X	X	X	X	x	X	X	X																			
C06T2C3	Poultry	n¡ã6	T2	Zero_dose	50%N2_50%CO2	X	X	X	X	X	x	X	X	X																			
C06T3A1	Poultry	n¡ã6	T3	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C06T3A2	Poultry	n¡ã6	T3	Normal_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C06T3A3	Poultry	n¡ã6	T3	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C06T3B1	Poultry	n¡ã6	T3	Half_dose	Air	X	X			X	x	X	X																				
C06T3B2	Poultry	n¡ã6	T3	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C06T3B3	Poultry	n¡ã6	T3	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C06T3C1	Poultry	n¡ã6	T3	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C06T3C2	Poultry	n¡ã6	T3	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C06T3C3	Poultry	n¡ã6	T3	Zero_dose	50%N2_50%CO2		X	X		X	x	X	X	X																			
C07TB	Poultry	n¡ã7	Gut	None	None					X		X	X																				
C07TD	Poultry	n¡ã7	Primal_cut	None	None		X			X		X	X																				
C07TE	Poultry	n¡ã7	Spices	None	None					X		X	X																				
C07TG	Poultry	n¡ã7	Fat	None	None		X			X		X	X																				
C07T0A	Poultry	n¡ã7	T0	Normal_dose	None	X	X	X		X	x	X	X	X																			
C07T0B	Poultry	n¡ã7	T0	Half_dose	None	X	X			X	x	X	X																				
C07T0C	Poultry	n¡ã7	T0	Zero_dose	None	X	X	X		X	x	X	X																				
C07T1A1	Poultry	n¡ã7	T1	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C07T1A2	Poultry	n¡ã7	T1	Normal_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C07T1A3	Poultry	n¡ã7	T1	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C07T1B1	Poultry	n¡ã7	T1	Half_dose	Air	X	X			X	x	X	X																				
C07T1B2	Poultry	n¡ã7	T1	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C07T1B3	Poultry	n¡ã7	T1	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C07T1C1	Poultry	n¡ã7	T1	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C07T1C2	Poultry	n¡ã7	T1	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C07T1C3	Poultry	n¡ã7	T1	Zero_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C07T2A1	Poultry	n¡ã7	T2	Normal_dose	Air	X	X	X		X	x	X	X	X																			
C07T2A2	Poultry	n¡ã7	T2	Normal_dose	70%O2_30%CO2		X	X		X	x	X	X	X																			
C07T2A3	Poultry	n¡ã7	T2	Normal_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C07T2B1	Poultry	n¡ã7	T2	Half_dose	Air	X	X			X	x	X	X																				
C07T2B2	Poultry	n¡ã7	T2	Half_dose	70%O2_30%CO2	X	X			X	x	X	X																				
C07T2B3	Poultry	n¡ã7	T2	Half_dose	50%N2_50%CO2	X	X			X	x	X	X																				
C07T2C1	Poultry	n¡ã7	T2	Zero_dose	Air	X	X	X		X	x	X	X	X																			
C07T2C2	Poultry	n¡ã7	T2	Zero_dose	70%O2_30%CO2	X	X	X		X	x	X	X	X																			
C07T2C3	Poultry	n¡ã7	T2	Zero_dose	50%N2_50%CO2	X	X	X		X	x	X	X	X																			
C07T3A1	Poultry	n¡ã7	T3	Normal_dose	Air	X	X	X		X	x	X	X	X																			
